,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_sde_net_arch,params_use_rms_prop,params_vf_coef,state
22,22,10573.837445,2021-08-23 00:41:30.356473,2021-08-23 00:45:46.925647,0 days 00:04:16.569174,leaky_relu,9.586816548960411e-05,0.95,0.999,0.0002903510153796266,0.3139428553454189,linear,1.0,5,3small,False,True,,False,0.9987360576752022,COMPLETE
23,23,13294.712293,2021-08-23 00:45:46.925647,2021-08-23 00:49:47.171234,0 days 00:04:00.245587,leaky_relu,7.103219240780594e-05,0.95,0.999,0.001452245774097146,0.6050732250215718,linear,1.0,5,3small,False,True,,False,0.6281447982730424,COMPLETE
24,24,12120.113893,2021-08-23 00:49:47.171234,2021-08-23 00:54:02.429168,0 days 00:04:15.257934,leaky_relu,8.960163289990842e-08,0.95,0.999,9.74373414843708e-05,-0.10859189737117725,linear,0.5,5,3small,False,True,,False,0.7664267619655267,COMPLETE
25,25,12226.338791,2021-08-23 00:54:02.431169,2021-08-23 00:58:06.851524,0 days 00:04:04.420355,leaky_relu,1.2857495363988974e-06,0.8,0.99,3.893059786215753e-05,-1.148397141265951,linear,0.3,5,3small,False,True,,False,0.9863386099196265,COMPLETE
26,26,12851.586713,2021-08-23 00:58:06.851524,2021-08-23 01:02:40.459891,0 days 00:04:33.608367,relu,1.1741187089085762e-05,0.9,0.95,0.0004964578267683026,-0.16807937174134113,constant,1.0,20,small,False,False,,True,0.6156302464269574,PRUNED
27,27,10407.531613,2021-08-23 01:02:40.460889,2021-08-23 01:03:45.796140,0 days 00:01:05.335251,elu,0.0001497109944144369,0.99,0.9,1.912633799197494e-05,0.689980413602065,linear,1.0,1,3medium,True,True,,False,0.09440191916423454,PRUNED
28,28,13614.095106999997,2021-08-23 01:03:45.796140,2021-08-23 01:08:33.830327,0 days 00:04:48.034187,leaky_relu,2.45423575121147e-07,0.92,0.995,0.0001557747941485978,-0.21323567791038545,constant,0.3,10,3small,False,False,,True,0.2605443411326229,PRUNED
29,29,12543.251679,2021-08-23 01:08:33.831399,2021-08-23 01:13:10.863782,0 days 00:04:37.032383,leaky_relu,0.0005363478802550833,0.98,0.999,0.022489165296689123,-2.360047846999025,constant,0.9,10,small,False,True,,True,0.5437316848974695,PRUNED
30,30,15760.198930000002,2021-08-23 01:13:10.864780,2021-08-23 01:16:57.872873,0 days 00:03:47.008093,tanh,4.071869686147734e-06,1.0,0.98,0.006091038442400068,0.5523434134392059,linear,1.0,5,medium,False,True,,False,0.36340337458493177,COMPLETE
31,31,10651.453157,2021-08-23 01:16:57.872873,2021-08-23 01:20:44.267993,0 days 00:03:46.395120,tanh,3.5979281690613424e-05,1.0,0.98,0.007363343869834333,0.5193211566196894,linear,1.0,5,medium,False,True,,False,0.04177681466685342,COMPLETE
